"analysis_id","draw","replicate","estimand","regime","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","roundtrip_participant_km","taker_mean_distance_km"
"baseline-posterior",1393,1393,"population","control",101,34,0.442354141506684,0.282926476125344,0.311011778811533,29873.3033784054,1.24736100170387,3.18966975273969,101,0,0,101,0.310193240370866,78.6222543029726,46539.2115809707,0.778943175307032
"baseline-posterior",1393,1393,"population","bracelet",77,51,0.764544205222171,0.299424128296949,0.311320269962957,29902.9345704819,1.91458431699129,3.27297399145503,77,0,0,77,0.310193240370866,108.253446379527,97374.3458196119,1.62817374311706
"baseline-posterior",1393,1393,"legacy","control",106,29,0.465277777777778,0.311165539177438,0.311165539177438,44.8078376415511,1.25339703308763,3.20573768696429,106,0,0,106,0.309654136188543,0.217642030400832,66.8890493451516,0.746398988054763
"baseline-posterior",1393,1393,"legacy","bracelet",80,48,0.777777777777778,0.310664719947024,0.310664719947024,44.7357196723715,1.91651090225892,3.20998882267476,80,0,0,80,0.309654136188543,0.145524061221259,147.736649845256,1.65121575026876
"baseline-posterior",1394,1394,"population","control",102,34,0.434337650439345,0.301428394489933,0.328420131079592,31545.4104304569,1.22574459106343,3.18966975273969,102,0,0,102,0.327116317469546,125.23390487209,51495.4797837068,0.8162119161079
"baseline-posterior",1394,1394,"population","bracelet",82,49,0.708970141173531,0.314991921687822,0.327969245305996,31502.1019501315,1.74810294556348,3.27297399145503,82,0,0,82,0.327116317469546,81.9254245466436,92919.6991508284,1.47481744706944
"baseline-posterior",1394,1394,"legacy","control",107,28,0.451388888888889,0.327863339460399,0.327863339460399,47.2123208822975,1.23158429852544,3.13398607852492,107,0,0,107,0.326634424750473,0.176963718229295,75.6247724579304,0.800900814074217
"baseline-posterior",1394,1394,"legacy","bracelet",85,43,0.708333333333333,0.326960448896074,0.326960448896074,47.0823046410346,1.76201516538771,3.2766433130779,85,0,0,85,0.326634424750473,0.0469474769664444,140.086377777671,1.48767545307859
"baseline-posterior",1395,1395,"population","control",101,34,0.442354141506684,0.315379431428273,0.346188785660179,33252.1252402315,1.24736100170387,3.18966975273969,101,0,0,101,0.345638078692872,52.8965056237867,52282.3920935448,0.786151136443585
"baseline-posterior",1395,1395,"population","bracelet",82,48,0.700755840586349,0.332201484888951,0.347237594735058,33352.8654494918,1.75516913853253,3.27297399145503,82,0,0,82,0.345638078692872,153.636714884073,96336.0651594281,1.44419473201359
"baseline-posterior",1395,1395,"legacy","control",106,29,0.465277777777778,0.346257296265052,0.346257296265052,49.8610506621674,1.25339703308763,3.20573768696429,106,0,0,106,0.34504959041958,0.17390964174799,75.2125624310736,0.754221596137984
"baseline-posterior",1395,1395,"legacy","bracelet",85,43,0.708333333333333,0.346401585860738,0.346401585860738,49.8818283639463,1.76361305180565,3.2766433130779,85,0,0,85,0.34504959041958,0.194687343526887,145.060862475218,1.45404516266754
"baseline-posterior",1396,1396,"population","control",102,34,0.434337650439345,0.312895803843765,0.340917323943166,32745.790799389,1.22574459106343,3.18966975273969,102,0,0,102,0.339672718461852,119.546845691231,53434.5368574537,0.815899319469951
"baseline-posterior",1396,1396,"population","bracelet",82,49,0.710281930620914,0.327107993220201,0.340803742434829,32734.8810683502,1.75081073910171,3.25257426446003,82,0,0,82,0.339672718461852,108.637114652433,96497.8775703638,1.4739304744819
"baseline-posterior",1396,1396,"legacy","control",107,29,0.458333333333333,0.340803011819558,0.340803011819558,49.0756337020164,1.22980607934852,3.12922663651524,107,0,0,107,0.339176091905336,0.234276467647994,77.4824444435962,0.789418684983915
"baseline-posterior",1396,1396,"legacy","bracelet",85,43,0.708333333333333,0.339947327910545,0.339947327910545,48.9524152191185,1.76201516538771,3.2766433130779,85,0,0,85,0.339176091905336,0.111057984750055,145.274060278829,1.48382934354271
