arm,distance_km,estimate,std_error,conf_low,conf_high,p_value
calendar,1.8000000000000003,-0.032593608753546666,0.039154714358876255,-0.11427009762170665,0.041812401139302034,0.4075924075924076
calendar,1.85,-0.021380769030252295,0.04399115688147879,-0.11183952243184415,0.06407135665349561,0.6113886113886113
calendar,1.9,-0.01071586762018198,0.04930111539300724,-0.11267007784779166,0.08274171243081388,0.8091908091908092
calendar,1.9500000000000002,-5.989045221471007e-4,0.054792885702724455,-0.11416122859176366,0.10416490591061399,0.981018981018981
calendar,2,0.008970120262854236,0.06028357117746173,-0.11767244380386714,0.12444844766790214,0.8691308691308691
ink,0.4,-0.08326483415995055,0.1758238790745455,-0.4311007527131305,0.22982608001822763,0.5934065934065934
ink,0.45,-0.08173561222576577,0.16256058906715054,-0.40585746806574674,0.2103635370036304,0.5774225774225774
ink,0.5,-0.07996210309110038,0.14733083178028372,-0.37129607404437537,0.18742135139539823,0.5614385614385614
ink,0.55,-0.07794430675633211,0.13027191839878852,-0.34200426093078756,0.1628525915781683,0.5314685314685315
ink,0.6000000000000001,-0.0756822232211771,0.1116434838211624,-0.29984595187004387,0.13634890909367908,0.48951048951048953
ink,0.65,-0.07317585248578243,0.09198728694658509,-0.259690269812652,0.1035589839907148,0.4255744255744256
ink,0.7000000000000001,-0.07042519455040733,0.07257707893972037,-0.21593792976770318,0.07106743319973459,0.34165834165834164
ink,0.75,-0.06745535707098022,0.056771660098723496,-0.17519022388209926,0.04548499365696948,0.24175824175824176
ink,0.8,-0.06473916693039677,0.05107436811102964,-0.1612147534717263,0.03338495616889017,0.22577422577422576
ink,0.8500000000000001,-0.06245594808796118,0.05594877513770818,-0.1716637304507532,0.04977721094115314,0.3336663336663337
ink,0.9,-0.060605700543929504,0.06644490220178906,-0.1908605999596749,0.06825426702417106,0.40559440559440557
ink,0.9500000000000001,-0.059188424297131254,0.07832741975587613,-0.20738421787550526,0.09244081712506078,0.5054945054945055
ink,1,-0.058204119348849837,0.0894952151603355,-0.231395719755274,0.11567417684196828,0.5714285714285714
ink,1.05,-0.057652785698368014,0.09900320698854331,-0.24700563749022061,0.13680203299014151,0.6333666333666333
ink,1.1,-0.057534423345666705,0.10640360311784894,-0.26412583396972505,0.15235818640890872,0.6553446553446554
ink,1.15,-0.05784903229107508,0.11146847450581411,-0.26809454990989134,0.16078331572531493,0.6773226773226774
ink,1.2000000000000002,-0.058596612534112885,0.1140763052592392,-0.2769983092903645,0.16530085161918795,0.6833166833166833
ink,1.25,-0.05977716407546875,0.11416345804334156,-0.2760908585978818,0.16250342180839275,0.6773226773226774
ink,1.3,-0.06139068691405805,0.11170340569780096,-0.2737221196364534,0.15419824072168906,0.6533466533466533
ink,1.35,-0.0634371810513677,0.10670032627448578,-0.26545452966924726,0.14193593590808112,0.6253746253746254
ink,1.4,-0.06591664648577886,0.09919397620896034,-0.2536824840439555,0.12558306753426565,0.5694305694305695
ink,1.4500000000000002,-0.06882908321869327,0.08928081772308395,-0.23748030458440658,0.10377881495159176,0.4975024975024975
ink,1.5,-0.07215243161096593,0.07729301558221513,-0.21970099364841306,0.07739469843759417,0.40559440559440557
ink,1.5500000000000003,-0.07549411152251029,0.0657433118653123,-0.20170662021049587,0.049933954031491805,0.3076923076923077
ink,1.6,-0.0787095172852168,0.05581422193645445,-0.18204366160395186,0.02940796013999478,0.1998001998001998
ink,1.65,-0.08179864889952682,0.048053408555334444,-0.17038375757096055,0.011132191505895978,0.0919080919080919
ink,1.7000000000000002,-0.08476150636546656,0.043144111484733946,-0.16597671187277163,-0.0023382683755100464,0.03596403596403597
ink,1.75,-0.08759808968238958,0.041609370671254906,-0.17068536953050029,-0.012717970080045908,0.029970029970029972
ink,1.8000000000000003,-0.09030839885147987,0.04335783690554565,-0.17680472353805607,-0.013166435573988779,0.03996003996003996
ink,1.85,-0.09289243387159996,0.04764276848257681,-0.18745947142912686,-0.004049467951390463,0.03596403596403597
ink,1.9,-0.09535019474344358,0.05353132077007199,-0.20381063433357074,-4.047863665404902e-4,0.05194805194805195
ink,1.9500000000000002,-0.09768168146658818,0.060277803202797145,-0.21896373374833214,0.011457278674676802,0.08191808191808192
ink,2,-0.0998868940414929,0.06738848766446938,-0.23679973511250163,0.02064529157256524,0.12787212787212787
bracelet,0.4,-0.3689467845749666,0.15007164993755426,-0.6947114297628657,-0.0996891428102553,0.011988011988011988
