signal_group,distance_km,estimate,std_error,conf_low,conf_high,p_value
Any Signal,0.7000000000000001,-0.16270440610441586,0.04642536156591288,-0.24773144588345763,-0.06760784275992597,0.001998001998001998
Any Signal,0.75,-0.14367709127164605,0.03794463388330873,-0.2131891858866538,-0.06397282424871992,0.001998001998001998
Any Signal,0.8,-0.12539682535097169,0.03570871461568763,-0.1902707024155248,-0.05559612919145048,0.003996003996003996
Any Signal,0.8500000000000001,-0.10869499405714182,0.03922160041809464,-0.18508455498246443,-0.036058716864651515,0.007992007992007992
Any Signal,0.9,-0.0935715973902305,0.0456214970802236,-0.18793293553078066,-0.007665281297389382,0.03996003996003996
Any Signal,0.9500000000000001,-0.08002663534862453,0.052676830365703906,-0.1876914010800173,0.022200517172362315,0.12987012987012986
Any Signal,1,-0.06806010793431831,0.05923348263423196,-0.18571676392027134,0.048539486102075195,0.27972027972027974
Any Signal,1.05,-0.0576720151460657,0.06473944170563889,-0.18714247268506054,0.06914209111317124,0.42957042957042957
Any Signal,1.1,-0.04886235698392932,0.0689212263808089,-0.18549870856430667,0.08683878883320567,0.5314685314685315
Any Signal,1.15,-0.04163113344852074,0.07163698391446202,-0.18149204971970206,0.09923485637805231,0.6273726273726273
Any Signal,1.2000000000000002,-0.035978344538972445,0.0728128224941602,-0.1787725633739136,0.10569303437402143,0.6873126873126874
Any Signal,1.25,-0.031903990256061096,0.0724150834819121,-0.17525913668760784,0.10824558934513852,0.7232767232767233
Any Signal,1.3,-0.029408070598614097,0.07043964160660508,-0.16865548225012525,0.10794337000159274,0.7352647352647352
Any Signal,1.35,-0.02849058556879426,0.06691182041260707,-0.15814974197845058,0.10000922584994376,0.7272727272727273
Any Signal,1.4,-0.029151535163760775,0.06189743517916887,-0.14837850986908283,0.09130707768352984,0.6753246753246753
Any Signal,1.4500000000000002,-0.03139091938617766,0.055533430804244346,-0.14006579696273577,0.0752679541932485,0.6213786213786214
Any Signal,1.5,-0.03514044800591608,0.04817677020869072,-0.12847211621659074,0.05538850707710433,0.5214785214785215
Any Signal,1.5500000000000003,-0.03918480701813565,0.041572263000967516,-0.12407461641885992,0.04190561973106009,0.3836163836163836
Any Signal,1.6,-0.043076339306877764,0.0366071792660897,-0.1183974124258431,0.029416609959496694,0.25574425574425574
Any Signal,1.65,-0.04681504487268774,0.03369641442486805,-0.11649465127059798,0.01795571107946929,0.15784215784215785
Any Signal,1.7000000000000002,-0.050400923715583953,0.033077449074018224,-0.11906727096100406,0.012961659789886,0.10989010989010989
Any Signal,1.75,-0.05383397583458317,0.03459330001805184,-0.12659868738275123,0.01212141848205099,0.0939060939060939
Any Signal,1.8000000000000003,-0.05711420123152469,0.037744062991100065,-0.1339842245799569,0.013151755873240066,0.11588411588411589
Any Signal,1.85,-0.060241599904645934,0.04195387484873559,-0.14257581175505687,0.015236954543435034,0.15384615384615385
Any Signal,1.9,-0.06321617185517289,0.04675809431085845,-0.1542386176301291,0.022923916095035718,0.18581418581418582
Any Signal,1.9500000000000002,-0.06603791708219006,0.051837238420084364,-0.1697032919076643,0.02796389768859883,0.2017982017982018
Any Signal,2,-0.06870683558640996,0.05698424078851211,-0.1826207891337522,0.037627617632190156,0.21978021978021978
